concepts,image_paths,sentences,start,end
disturb,stimuli/images/Disturb/disturb_2.jpg,"He can disturb her as much as he likes, it won't affect me.",7,14
disturb,stimuli/images/Disturb/disturb_3.jpg,He can disturb and aggravate just about anyone.,7,14
disturb,stimuli/images/Disturb/disturb_4.jpg,"Conspire as much as you like, it won't disturb her. ",39,46
disturb,stimuli/images/Disturb/disturb_5.jpg,Restrain yourself and don't disturb the peace. ,28,35
disturb,stimuli/images/Disturb/disturb_6.jpg,"If you disturb the meeting, you might jeopardize your chances. ",7,14
do,stimuli/images/Do/do_1.jpg,Do you often deviate from the rules?,0,2
do,stimuli/images/Do/do_2.jpg,I do not falter when I know what I want.,2,4
do,stimuli/images/Do/do_3.jpg,You do get punished if you misbehave. ,4,6
do,stimuli/images/Do/do_4.jpg,Do me no wrong and divulge the secret. ,0,2
do,stimuli/images/Do/do_5.jpg,I dare you to do that. ,14,16
do,stimuli/images/Do/do_6.jpg,You do have the tendency to annoy me. ,4,6
doctor,stimuli/images/Doctor/doctor_1.jpg,The hospital wanted to hire a new doctor. ,34,40
doctor,stimuli/images/Doctor/doctor_2.jpg,A young brilliant doctor performed the surgery.,18,24
doctor,stimuli/images/Doctor/doctor_3.jpg,The doctor was not used to dealing with patient trauma. ,4,10
doctor,stimuli/images/Doctor/doctor_4.jpg,There is no such thing as an occupational doctor. ,42,48
doctor,stimuli/images/Doctor/doctor_5.jpg,He would consult his friend first before he saw his doctor.,52,58
doctor,stimuli/images/Doctor/doctor_6.jpg,The physician preferred being called a doctor. ,39,45
dog,stimuli/images/Dog/dog_1.jpg,The man was able to rescue the dog.,31,34
dog,stimuli/images/Dog/dog_2.jpg,The shelter worker wished that more people wanted a dog.,52,55
dog,stimuli/images/Dog/dog_3.jpg,Her dog's temperament matched her own.,4,7
dog,stimuli/images/Dog/dog_4.jpg,A dog is a great companion. ,2,5
dog,stimuli/images/Dog/dog_5.jpg,The spaniel was a terrible dog. ,27,30
dog,stimuli/images/Dog/dog_6.jpg,The vet didn't want a dog of her own. ,22,25
dressing,stimuli/images/Dressing/dressing_1.jpg,The dressing would be thicker if an egg was mixed in. ,4,12
dressing,stimuli/images/Dressing/dressing_2.jpg,Garlic made the dressing inedible. ,16,24
dressing,stimuli/images/Dressing/dressing_3.jpg,The mozzarella was glazed with an oily dressing.,39,47
dressing,stimuli/images/Dressing/dressing_4.jpg,A delicious dressing was used as a garnish for the entr'e. ,12,20
dressing,stimuli/images/Dressing/dressing_5.jpg,The dressing gave the marmalade a sour twist. ,4,12
dressing,stimuli/images/Dressing/dressing_6.jpg,Sauerkraut is sour enough without dressing. ,34,42
driver,stimuli/images/Driver/driver_1.jpg,The driver felt it was his duty to take her home safely.,4,10
driver,stimuli/images/Driver/driver_2.jpg,The driver could not lift the bicycle out of the trunk.,4,10
driver,stimuli/images/Driver/driver_3.jpg,The bulldozer needed a better driver.,30,36
driver,stimuli/images/Driver/driver_4.jpg,The taxicab driver was tired of the people behind him.,12,18
driver,stimuli/images/Driver/driver_5.jpg,The actress needed to hire a new driver. ,33,39
driver,stimuli/images/Driver/driver_6.jpg,The driver hated loading in at the airport. ,4,10
economy,stimuli/images/Economy/economy_1.jpg,The boom gave the economy a big boost.,18,25
economy,stimuli/images/Economy/economy_2.jpg,The economy spiked unexpectedly.,4,11
economy,stimuli/images/Economy/economy_3.jpg,The economy was in a slump.,4,11
economy,stimuli/images/Economy/economy_4.jpg,The demand for carpools was not predicted by the economy.,49,56
economy,stimuli/images/Economy/economy_5.jpg,Unemployment continues to affect the country's economy.,47,54
economy,stimuli/images/Economy/economy_6.jpg,The current economy is good for college graduates. ,12,19
election,stimuli/images/Election/election_1.jpg,The election took place at the town hall meeting.,4,12
election,stimuli/images/Election/election_2.jpg,The council would hold another election next spring.,31,39
election,stimuli/images/Election/election_3.jpg,The candidate was up for election.,25,33
election,stimuli/images/Election/election_4.jpg,The poll was swarmed for the election.,29,37
election,stimuli/images/Election/election_5.jpg,The nomination for election was an honor. ,19,27
election,stimuli/images/Election/election_6.jpg,The councilman didn't stay for the election. ,35,43
electron,stimuli/images/Electron/electron_1.jpg,The electron moves in a wave. ,4,12
electron,stimuli/images/Electron/electron_2.jpg,An electron is a miniscule particle.,3,11
electron,stimuli/images/Electron/electron_3.jpg,An electron affects the equilibrium of a substance. ,3,11
electron,stimuli/images/Electron/electron_4.jpg,The wavelength of an electron can be calculated. ,21,29
electron,stimuli/images/Electron/electron_5.jpg,Calculating the mass of an electron uses Planck's constant. ,27,35
electron,stimuli/images/Electron/electron_6.jpg,The movement of an electron is often discussed in thermal chemistry.  ,19,27
elegance,stimuli/images/Elegance/elegance_1.jpg,Her elegance exuded unexpected warmth. ,4,12
elegance,stimuli/images/Elegance/elegance_2.jpg,The formality of the event added to its elegance.,40,48
elegance,stimuli/images/Elegance/elegance_3.jpg,The grandeur of the home screamed elegance. ,34,42
elegance,stimuli/images/Elegance/elegance_4.jpg,The simplicity of the garden's elegance was incomparable.,31,39
elegance,stimuli/images/Elegance/elegance_5.jpg,The combination of sensuality and elegance is hard to match. ,34,42
elegance,stimuli/images/Elegance/elegance_6.jpg,The inherent elegance of the palace overwhelmed her. ,13,21
emotion,stimuli/images/Emotion/emotion_1.jpg,His shame was his least controlled emotion.,35,42
emotion,stimuli/images/Emotion/emotion_2.jpg,Sorrow was his dominating emotion nowadays. ,26,33
emotion,stimuli/images/Emotion/emotion_3.jpg,The emotion that took over her after the meeting was indignation. ,4,11
emotion,stimuli/images/Emotion/emotion_4.jpg,"Betrayal isn't an emotion, though it may trigger one or many. ",18,25
emotion,stimuli/images/Emotion/emotion_5.jpg,Her disapproval resulted in an emotion she later identified as embarrassment.  ,31,38
emotion,stimuli/images/Emotion/emotion_6.jpg,Her desire to feel a more positive emotion was overwhelming. ,35,42
emotionally,stimuli/images/Emotionally/emotionally_1.jpg,He felt emotionally and mentally secure.,8,19
emotionally,stimuli/images/Emotionally/emotionally_2.jpg,Morally and emotionally the decision was difficult. ,12,23
emotionally,stimuli/images/Emotionally/emotionally_3.jpg,"Objectively speaking, he didn't get her emotionally. ",40,51
emotionally,stimuli/images/Emotionally/emotionally_4.jpg,An unsound judgment left her emotionally wrecked. ,29,40
emotionally,stimuli/images/Emotionally/emotionally_5.jpg,The family solidly pumped him up emotionally. ,33,44
emotionally,stimuli/images/Emotionally/emotionally_6.jpg,"While he was successful academically, he was underdeveloped emotionally. ",60,71
engine,stimuli/images/Engine/engine_1.jpg,The engine is in the front of the car. ,4,10
engine,stimuli/images/Engine/engine_2.jpg,The spare tire is up by the engine.,28,34
engine,stimuli/images/Engine/engine_3.jpg,A hybrid car has a different kind of engine.,37,43
engine,stimuli/images/Engine/engine_4.jpg,The jeep's engine gave out at the traffic light.,11,17
engine,stimuli/images/Engine/engine_5.jpg,Engine is another word for motor. ,0,6
engine,stimuli/images/Engine/engine_6.jpg,This car has its engine in the trunk. ,17,23
event,stimuli/images/Event/event_1.jpg,Everyone was so happy at the event.,29,34
event,stimuli/images/Event/event_2.jpg,The event was a celebration of his life and work.,4,9
event,stimuli/images/Event/event_3.jpg,The tenth reunion was a spectacular event.,36,41
event,stimuli/images/Event/event_4.jpg,The housewarming event was heavily attended.,17,22
event,stimuli/images/Event/event_5.jpg,The impromptu nature of the event made it special.,28,33
event,stimuli/images/Event/event_6.jpg,The luncheon was a monthly event hosted by the headmaster. ,27,32
experiment,stimuli/images/Experiment/experiment_1.jpg,This psychology experiment aimed to study human behavior.,16,26
experiment,stimuli/images/Experiment/experiment_2.jpg,The experiment had a condition that turned out to be diagnostic of psychosis. ,4,14
experiment,stimuli/images/Experiment/experiment_3.jpg,The experiment was measuring blood pressure under different conditions.,4,14
experiment,stimuli/images/Experiment/experiment_4.jpg,Debriefing participants about the experiment is important. ,34,44
experiment,stimuli/images/Experiment/experiment_5.jpg,A recent physics experiment led to an important observation.,17,27
experiment,stimuli/images/Experiment/experiment_6.jpg,Initial expectations didn't match up with the results of the experiment.,61,71
extremely,stimuli/images/Extremely/extremely_1.jpg,She is extremely powerful in the workroom. ,7,16
extremely,stimuli/images/Extremely/extremely_2.jpg,"She is impossibly kind, and extremely goal-driven. ",28,37
extremely,stimuli/images/Extremely/extremely_3.jpg,She is extremely and intensely motivated. ,7,16
extremely,stimuli/images/Extremely/extremely_4.jpg,"Infinitely grateful, he accepted the award for his extremely well-written proposal.",51,60
extremely,stimuli/images/Extremely/extremely_5.jpg,"Exceptionally gifted and extremely humble, Steve was easy to envy. ",25,34
extremely,stimuli/images/Extremely/extremely_6.jpg,"Unarguably the best student in the class, Sarah remained extremely competitive. ",57,66
feeling,stimuli/images/Feeling/feeling_1.jpg,She was feeling a bit afraid in light of finals coming up.,8,15
feeling,stimuli/images/Feeling/feeling_2.jpg,"While he was worried, she was feeling fine.",30,37
feeling,stimuli/images/Feeling/feeling_3.jpg,The baby was feeling fussy all day.,13,20
feeling,stimuli/images/Feeling/feeling_4.jpg,The cat was feeling grumpy and scratched the chair.,12,19
feeling,stimuli/images/Feeling/feeling_5.jpg,His temperamental mood swings had her feeling sad.,38,45
feeling,stimuli/images/Feeling/feeling_6.jpg,She was feeling weary of his skittish behavior.,8,15
fight,stimuli/images/Fight/fight_1.jpg,The first swing of the sword began the fight.,39,44
fight,stimuli/images/Fight/fight_2.jpg,The beast started the fight. ,22,27
fight,stimuli/images/Fight/fight_3.jpg,The goblin fled from the fight.,25,30
fight,stimuli/images/Fight/fight_4.jpg,The gladiator did not want to fight. ,30,35
fight,stimuli/images/Fight/fight_5.jpg,The bloodline was worth the fight.,28,33
fight,stimuli/images/Fight/fight_6.jpg,The warlock put up a good fight. ,26,31
fish,stimuli/images/Fish/fish_1.jpg,He wanted to see the fish in the ocean.,21,25
fish,stimuli/images/Fish/fish_2.jpg,His plan to find fish like shark in saltwater was just silly.,17,21
fish,stimuli/images/Fish/fish_3.jpg,"After catching a carp, he wanted more fish.",38,42
fish,stimuli/images/Fish/fish_4.jpg,The gator eats fish like trout. ,15,19
fish,stimuli/images/Fish/fish_5.jpg,The divers weren't there for the fish. ,33,37
fish,stimuli/images/Fish/fish_6.jpg,"Some love the water to surf, some like the fish. ",43,47
flow,stimuli/images/Flow/flow_1.jpg,Hot air would flow out from the heater. ,14,18
flow,stimuli/images/Flow/flow_2.jpg,The minimal water flow reminded him to pay his rent.,18,22
flow,stimuli/images/Flow/flow_3.jpg,The leak disrupted the flow. ,23,27
flow,stimuli/images/Flow/flow_4.jpg,The spout has a shape that inhibits flow.,36,40
flow,stimuli/images/Flow/flow_5.jpg,A liter of water will flow out of the canister.,22,26
flow,stimuli/images/Flow/flow_6.jpg,The turbine relies on a steady flow. ,31,35
food,stimuli/images/Food/food_1.jpg,She eats junk food on the weekends.,14,18
food,stimuli/images/Food/food_2.jpg,He felt fat after eating that much food.,35,39
food,stimuli/images/Food/food_3.jpg,The cat food today consisted of kibble.,8,12
food,stimuli/images/Food/food_4.jpg,She tries to get a lot of nutritional value out of her food.,55,59
food,stimuli/images/Food/food_5.jpg,He was devouring his food as she spoke.,21,25
food,stimuli/images/Food/food_6.jpg,Finding suitable food at the steakhouse is hard for a vegetarian. ,17,21
garbage,stimuli/images/Garbage/garbage_1.jpg,The dumpster was full of garbage.,25,32
garbage,stimuli/images/Garbage/garbage_2.jpg,He threw the rotten apple into the garbage.,35,42
garbage,stimuli/images/Garbage/garbage_3.jpg,Trash is another word for garbage.,26,33
garbage,stimuli/images/Garbage/garbage_4.jpg,The garbage began to reek in the sun.,4,11
garbage,stimuli/images/Garbage/garbage_5.jpg,The landfill is brimming with garbage.,30,37
garbage,stimuli/images/Garbage/garbage_6.jpg,The sewer bubbled over into the garbage.,32,39
gold,stimuli/images/Gold/gold_1.jpg,I've always wanted a gold watch for my thirtieth birthday.,21,25
gold,stimuli/images/Gold/gold_2.jpg,The yellow gold shone brightly against her skin.,11,15
gold,stimuli/images/Gold/gold_3.jpg,He chose the gold ring after careful deliberation.,13,17
gold,stimuli/images/Gold/gold_4.jpg,The horseshoe had gold accents wrapped around it.,18,22
gold,stimuli/images/Gold/gold_5.jpg,He couldn't take his eyes off of the glittering gold.,48,52
gold,stimuli/images/Gold/gold_6.jpg,The paperweight was made of gold. ,28,32
great,stimuli/images/Great/great_1.jpg,The experience was irresistible in how great it was. ,39,44
great,stimuli/images/Great/great_2.jpg,"If the first choice was great, the second was absolutely terrific.",24,29
great,stimuli/images/Great/great_3.jpg,The great waiter made sure the guests had a lovely time.,4,9
great,stimuli/images/Great/great_4.jpg,The spectacular view was what made the room so great.,47,52
great,stimuli/images/Great/great_5.jpg,The food was great and the service exceptional.,13,18
great,stimuli/images/Great/great_6.jpg,It is amazing how great she is at getting what she wants. ,18,23
gun,stimuli/images/Gun/gun_1.jpg,A gun is a kind of weapon.,2,5
gun,stimuli/images/Gun/gun_2.jpg,Firing a gun can kill someone.,9,12
gun,stimuli/images/Gun/gun_3.jpg,The gun had one bullet left.,4,7
gun,stimuli/images/Gun/gun_4.jpg,The shooter threw away his gun.,27,30
gun,stimuli/images/Gun/gun_5.jpg,He aimed the gun at the target. ,13,16
gun,stimuli/images/Gun/gun_6.jpg,The blast from the gun was loud. ,19,22
hair,stimuli/images/Hair/hair_1.jpg,His blond hair looked very attractive against a dark blue shirt. ,10,14
hair,stimuli/images/Hair/hair_2.jpg,His moustache is a different color from the hair on his head.,44,48
hair,stimuli/images/Hair/hair_3.jpg,Her hair is droopy in the heat.,4,8
hair,stimuli/images/Hair/hair_4.jpg,The model's hair was voluminous. ,12,16
hair,stimuli/images/Hair/hair_5.jpg,He lost most of his hair when he tried to straighten it. ,20,24
hair,stimuli/images/Hair/hair_6.jpg,The cat's whiskers felt like human hair to the touch. ,35,39
help,stimuli/images/Help/help_1.jpg,Someone had to help her to replace the engine. ,15,19
help,stimuli/images/Help/help_2.jpg,"You can't recover alone, you need a doctor to help you. ",46,50
help,stimuli/images/Help/help_3.jpg,Stimulate the area to help it wake up. ,22,26
help,stimuli/images/Help/help_4.jpg,Please clarify how I can help. ,25,29
help,stimuli/images/Help/help_5.jpg,You won't stabilize unless you let him help you.,39,43
help,stimuli/images/Help/help_6.jpg,Reinforce the idea that letting people help you is a sign of strength.,39,43
hurting,stimuli/images/Hurting/hurting_1.jpg,Her nose was hurting after the fall on the concrete.,13,20
hurting,stimuli/images/Hurting/hurting_2.jpg,His tooth was hurting after baseball practice.,14,21
hurting,stimuli/images/Hurting/hurting_3.jpg,Hurting her hip was the worst thing that could happen.,0,7
hurting,stimuli/images/Hurting/hurting_4.jpg,The child's bony bottom was hurting the mother's lap.,28,35
hurting,stimuli/images/Hurting/hurting_5.jpg,The prosthetic arm was hurting her where it attached. ,23,30
hurting,stimuli/images/Hurting/hurting_6.jpg,"After giving birth, her pelvis was hurting tremendously. ",35,42
ignorance,stimuli/images/Ignorance/ignorance_1.jpg,That is an example of his misunderstanding rather than his ignorance. ,59,68
ignorance,stimuli/images/Ignorance/ignorance_2.jpg,His arrogance is striking given the level of his ignorance.,49,58
ignorance,stimuli/images/Ignorance/ignorance_3.jpg,Their ignorance stems from their nighttime debauchery. ,6,15
ignorance,stimuli/images/Ignorance/ignorance_4.jpg,His complete ignorance explains his inefficiency. ,13,22
ignorance,stimuli/images/Ignorance/ignorance_5.jpg,Cut the tomfoolery and work on changing ignorance. ,40,49
ignorance,stimuli/images/Ignorance/ignorance_6.jpg,I can't tell if it is your cockiness or ignorance that bothers me most. ,40,49
illness,stimuli/images/Illness/illness_1.jpg,The illness spread quickly across the local community. ,4,11
illness,stimuli/images/Illness/illness_2.jpg,His illness turned out to be the flu.,4,11
illness,stimuli/images/Illness/illness_3.jpg,The penicillin didn't seem to cure her illness.,39,46
illness,stimuli/images/Illness/illness_4.jpg,She contracted a stomach illness from the local food.,25,32
illness,stimuli/images/Illness/illness_5.jpg,Typhoid was an illness that affected many people back in the day.,15,22
illness,stimuli/images/Illness/illness_6.jpg,"Luckily, he wasn't susceptible to the illness. ",38,45
impress,stimuli/images/Impress/impress_1.jpg,It is easy to impress the unsuspecting countess. ,14,21
impress,stimuli/images/Impress/impress_2.jpg,Don't terrify her but impress her. ,22,29
impress,stimuli/images/Impress/impress_3.jpg,Misdirect the attention onto you to really impress him. ,43,50
impress,stimuli/images/Impress/impress_4.jpg,"In order to impress him, titillate his interests. ",12,19
impress,stimuli/images/Impress/impress_5.jpg,"Try more than to impress him, astonish him!",17,24
impress,stimuli/images/Impress/impress_6.jpg,"Tonight, you will mesmerize and impress your audience.  ",32,39
invention,stimuli/images/Invention/invention_1.jpg,The invention could comprise the company's future.,4,13
invention,stimuli/images/Invention/invention_2.jpg,The invention of the drink involved an unexpected element.,4,13
invention,stimuli/images/Invention/invention_3.jpg,The semiconductor was a crucial component of the invention.,49,58
invention,stimuli/images/Invention/invention_4.jpg,The invention rotated upon the push of a button.,4,13
invention,stimuli/images/Invention/invention_5.jpg,The invention was shown schematically on a large piece of paper.,4,13
invention,stimuli/images/Invention/invention_6.jpg,The new invention involved a reflective material overlying the glass material.,8,17
investigation,stimuli/images/Investigation/investigation_1.jpg,The criminal was under investigation again.,23,36
investigation,stimuli/images/Investigation/investigation_2.jpg,An investigation doesn't necessarily produce a charge.,3,16
investigation,stimuli/images/Investigation/investigation_3.jpg,Suspicion spurred the officer to continue the investigation.,46,59
investigation,stimuli/images/Investigation/investigation_4.jpg,The investigation was unlawful.,4,17
investigation,stimuli/images/Investigation/investigation_5.jpg,The burglary did not lead to an investigation.,32,45
investigation,stimuli/images/Investigation/investigation_6.jpg,The investigation uncovered a scandal.,4,17
invisible,stimuli/images/Invisible/invisible_1.jpg,The ghost was invisible.,14,23
invisible,stimuli/images/Invisible/invisible_2.jpg,"The girl felt insignificant, like she was invisible.",42,51
invisible,stimuli/images/Invisible/invisible_3.jpg,The spider web is almost invisible to the naked eye.,25,34
invisible,stimuli/images/Invisible/invisible_4.jpg,The wind is invisible and odorless.,12,21
invisible,stimuli/images/Invisible/invisible_5.jpg,It was inexplicable how the boy had become invisible. ,43,52
invisible,stimuli/images/Invisible/invisible_6.jpg,She was virtually invisible in the dark. ,18,27
job,stimuli/images/Job/job_1.jpg,For her job she works as a cashier.,8,11
job,stimuli/images/Job/job_2.jpg,"As a coordinator, it is her job to organize the event.",28,31
job,stimuli/images/Job/job_3.jpg,Recruitment season is the perfect time to get a job.,48,51
job,stimuli/images/Job/job_4.jpg,The job position recently closed. ,4,7
job,stimuli/images/Job/job_5.jpg,The manager wanted to give up his job soon after he got it. ,34,37
job,stimuli/images/Job/job_6.jpg,The first month on the job is under supervision. ,23,26
jungle,stimuli/images/Jungle/jungle_1.jpg,The monkey lives in the jungle.,24,30
jungle,stimuli/images/Jungle/jungle_2.jpg,The jungle appears giant from every angle.,4,10
jungle,stimuli/images/Jungle/jungle_3.jpg,Ferocious animals abound in the jungle.,32,38
jungle,stimuli/images/Jungle/jungle_4.jpg,The gazelle grazed at the outskirts of the jungle.,43,49
jungle,stimuli/images/Jungle/jungle_5.jpg,The lion does not live in the jungle. ,30,36
jungle,stimuli/images/Jungle/jungle_6.jpg,A new species of frog were recently discovered in the jungle. ,54,60
kindness,stimuli/images/Kindness/kindness_1.jpg,He had respect for her kindness.,23,31
kindness,stimuli/images/Kindness/kindness_2.jpg,Kindness and loyalty are two things you need in a partner.,0,8
kindness,stimuli/images/Kindness/kindness_3.jpg,His manliness and kindness made him irresistible.,18,26
kindness,stimuli/images/Kindness/kindness_4.jpg,Her meekness outweighed her kindness.,28,36
kindness,stimuli/images/Kindness/kindness_5.jpg,The direct nature of his kindness was gentlemanly. ,25,33
kindness,stimuli/images/Kindness/kindness_6.jpg,Piety and kindness were practiced at school. ,10,18
king,stimuli/images/King/king_1.jpg,The king is the head of the royal family. ,4,8
king,stimuli/images/King/king_2.jpg,The king was wealthy beyond belief. ,4,8
king,stimuli/images/King/king_3.jpg,This king does not wear a crown.,5,9
king,stimuli/images/King/king_4.jpg,A king and an emperor had similar roles. ,2,6
king,stimuli/images/King/king_5.jpg,The king is a ruler of his land. ,4,8
king,stimuli/images/King/king_6.jpg,The king is not a dictator. ,4,8
lady,stimuli/images/Lady/lady_1.jpg,The queen was a classy lady.,23,27
lady,stimuli/images/Lady/lady_2.jpg,The princess was a young lady and newly married.,25,29
lady,stimuli/images/Lady/lady_3.jpg,The weird lady needed a serious makeover. ,10,14
lady,stimuli/images/Lady/lady_4.jpg,The debutante was presented as a lady.,33,37
lady,stimuli/images/Lady/lady_5.jpg,The lady has a keen suitor. ,4,8
lady,stimuli/images/Lady/lady_6.jpg,The darling of the society was a lady from New York. ,33,37
land,stimuli/images/Land/land_1.jpg,This piece of land borders two countries. ,14,18
land,stimuli/images/Land/land_2.jpg,The island is mostly made up of uninhabitable land.,46,50
land,stimuli/images/Land/land_3.jpg,A fence marks the border of his land.  ,32,36
land,stimuli/images/Land/land_4.jpg,This land is his refuge.,5,9
land,stimuli/images/Land/land_5.jpg,"In a faraway land, people live very differently. ",13,17
land,stimuli/images/Land/land_6.jpg,A swamp shouldn't be classified as land. ,35,39
laugh,stimuli/images/Laugh/laugh_1.jpg,She tried not to laugh and had to gasp. ,17,22
laugh,stimuli/images/Laugh/laugh_2.jpg,At comedy clubs people tend to laugh and clap at the same time.,31,36
laugh,stimuli/images/Laugh/laugh_3.jpg,When I laugh I sometimes sneeze.,7,12
laugh,stimuli/images/Laugh/laugh_4.jpg,Her giggle was the hardest I've ever seen her laugh. ,46,51
laugh,stimuli/images/Laugh/laugh_5.jpg,She tends to sigh whenever I laugh.,29,34
laugh,stimuli/images/Laugh/laugh_6.jpg,He spit out his water when he had to laugh. ,37,42
law,stimuli/images/Law/law_1.jpg,The law would act to her benefit. ,4,7
law,stimuli/images/Law/law_2.jpg,He will enforce the law if she breaks it. ,20,23
law,stimuli/images/Law/law_3.jpg,The applicability of the law is murky in this situation.,25,28
law,stimuli/images/Law/law_4.jpg,House arrest is a restriction that the law places on particular criminals. ,39,42
law,stimuli/images/Law/law_5.jpg,A new law doesn't work retroactively. ,6,9
law,stimuli/images/Law/law_6.jpg,All I want is to overturn that law. ,31,34
left,stimuli/images/Left/left_1.jpg,His remains were left on the battlefield. ,17,21
left,stimuli/images/Left/left_2.jpg,The child was thankfully left unharmed.,25,29
left,stimuli/images/Left/left_3.jpg,The unmarked turkey was left over from November. ,24,28
left,stimuli/images/Left/left_4.jpg,She was left undecided after hearing him out.,8,12
left,stimuli/images/Left/left_5.jpg,"He walked to the left of the room, feeling unnoticed. ",17,21
left,stimuli/images/Left/left_6.jpg,His question was left unanswered. ,17,21
level,stimuli/images/Level/level_1.jpg,I measured his level of consciousness just now.,15,20
level,stimuli/images/Level/level_2.jpg,Your salary should reflect your level of performance. ,32,37
level,stimuli/images/Level/level_3.jpg,The threshold level is almost impossible to beat. ,14,19
level,stimuli/images/Level/level_4.jpg,The level of unemployment has risen in the last year. ,4,9
level,stimuli/images/Level/level_5.jpg,Step it up a level to increase the quota.,13,18
level,stimuli/images/Level/level_6.jpg,He performs at a greater level than his coworkers. ,25,30
liar,stimuli/images/Liar/liar_1.jpg,"While he is a troublemaker, he isn't a liar.  ",39,43
liar,stimuli/images/Liar/liar_2.jpg,The cheater had always been a major liar. ,36,40
liar,stimuli/images/Liar/liar_3.jpg,She is a pessimist and a liar. ,25,29
liar,stimuli/images/Liar/liar_4.jpg,The liar became an imposter when discovered. ,4,8
liar,stimuli/images/Liar/liar_5.jpg,The fast talker spoke fast because she was a nervous liar. ,53,57
liar,stimuli/images/Liar/liar_6.jpg,The faker became a full-blown liar. ,30,34
light,stimuli/images/Light/light_1.jpg,The morning light was clear today.,12,17
light,stimuli/images/Light/light_2.jpg,The light from the window made her eyes hurt.,4,9
light,stimuli/images/Light/light_3.jpg,There isn't much light during dusk.,17,22
light,stimuli/images/Light/light_4.jpg,He had to squint in the brightness of the light.,42,47
light,stimuli/images/Light/light_5.jpg,The storm clouds were clouding the light.,35,40
light,stimuli/images/Light/light_6.jpg,The light reflected off of the window.  ,4,9
magic,stimuli/images/Magic/magic_1.jpg,The spell proved magic exists. ,17,22
magic,stimuli/images/Magic/magic_2.jpg,He doesn't believe in magic or witchcraft.,22,27
magic,stimuli/images/Magic/magic_3.jpg,The psychic performed magic tricks. ,22,27
magic,stimuli/images/Magic/magic_4.jpg,Tarot cards are make-believe magic.,29,34
magic,stimuli/images/Magic/magic_5.jpg,The mythical story made magic seem real. ,24,29
magic,stimuli/images/Magic/magic_6.jpg,The magician cast his magic on her. ,22,27
marriage,stimuli/images/Marriage/marriage_1.jpg,She was pregnant at the time of her marriage.,36,44
marriage,stimuli/images/Marriage/marriage_2.jpg,Dating and marriage are not the same thing.,11,19
marriage,stimuli/images/Marriage/marriage_3.jpg,Some girls start fantasizing about marriage after puberty.,35,43
marriage,stimuli/images/Marriage/marriage_4.jpg,"She wanted to talk about marriage, he wanted a breakup.",25,33
marriage,stimuli/images/Marriage/marriage_5.jpg,The newlywed groom could talk about marriage for hours.,36,44
marriage,stimuli/images/Marriage/marriage_6.jpg,Marriage advice is probably a good thing to get. ,0,8
material,stimuli/images/Material/material_1.jpg,That material is hard to rip.,5,13
material,stimuli/images/Material/material_2.jpg,Covering the statue with this material is harder than it looks.,30,38
material,stimuli/images/Material/material_3.jpg,Silicone is a bendy kind of material.,28,36
material,stimuli/images/Material/material_4.jpg,The material has an adhesive side. ,4,12
material,stimuli/images/Material/material_5.jpg,The material will cling to your hair. ,4,12
material,stimuli/images/Material/material_6.jpg,Scientists keep working on creating an unbreakable material. ,51,59
mathematical,stimuli/images/Mathematical/mathematical_1.jpg,A random mathematical expression means nothing to me.,9,21
mathematical,stimuli/images/Mathematical/mathematical_2.jpg,Calculus is the mathematical study of change.,16,28
mathematical,stimuli/images/Mathematical/mathematical_3.jpg,The mathematical simulation made the point clearly.,4,16
mathematical,stimuli/images/Mathematical/mathematical_4.jpg,The mathematical classification of the required course worried him. ,4,16
mathematical,stimuli/images/Mathematical/mathematical_5.jpg,Mathematical formulas involve arbitrary variables. ,0,12
mathematical,stimuli/images/Mathematical/mathematical_6.jpg,The article made some generalizations based on solid mathematical grounds. ,53,65
mechanism,stimuli/images/Mechanism/mechanism_1.jpg,Pulling the wire triggered an invisible mechanism.,40,49
mechanism,stimuli/images/Mechanism/mechanism_2.jpg,The latch was part of a bigger mechanism.,31,40
mechanism,stimuli/images/Mechanism/mechanism_3.jpg,The mechanism had a handle that could be used to start it.,4,13
mechanism,stimuli/images/Mechanism/mechanism_4.jpg,The man was proud of his patented mechanism. ,34,43
mechanism,stimuli/images/Mechanism/mechanism_5.jpg,The footrest could be extended by a specially designed mechanism. ,55,64
mechanism,stimuli/images/Mechanism/mechanism_6.jpg,He was able to fix the mechanism in no time.,23,32
medication,stimuli/images/Medication/medication_1.jpg,Taking the medications has strange effects on her body.,11,22
medication,stimuli/images/Medication/medication_2.jpg,The combination of the medication and no sleep was not good. ,23,33
medication,stimuli/images/Medication/medication_3.jpg,The medication was an antidote for his allergy. ,4,14
medication,stimuli/images/Medication/medication_4.jpg,The formulation of the medication was updated recently. ,23,33
medication,stimuli/images/Medication/medication_5.jpg,She couldn't get a new prescription so she took her old medication instead. ,56,66
medication,stimuli/images/Medication/medication_6.jpg,This medication proved to be essential to his well-being.  ,5,15
money,stimuli/images/Money/money_1.jpg,I will pay you money for this. ,15,20
money,stimuli/images/Money/money_2.jpg,A good retirement requires having saved a lot of money.,49,54
money,stimuli/images/Money/money_3.jpg,His paycheck means more money for the kids. ,24,29
money,stimuli/images/Money/money_4.jpg,She wants to borrow some of his money. ,32,37
money,stimuli/images/Money/money_5.jpg,Earn some money first before you take mine. ,10,15
money,stimuli/images/Money/money_6.jpg,I need to withdraw some money before we go out. ,24,29
